sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1655016420.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655016420.659150",0,0,1655016420,0,0,canceled,"0.24",,,,,,,,,,,
"1655020021.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655020021.173648",0,0,1655020021,0,0,canceled,"0.212",,,,,,,,,,,
"1655023620.18","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655023620.806805",0,0,1655023620,0,0,canceled,"0.199",,,,,,,,,,,
"1655028428.21","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655028428.058120",0,0,1655028428,0,0,canceled,"0.219",,,,,,,,,,,
"1655030820.26","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655030820.594586",0,0,1655030820,0,0,canceled,"0.192",,,,,,,,,,,
"1655036564.29","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655036564.216881",0,0,1655036564,0,0,canceled,"0.268",,,,,,,,,,,
"1655038021.32","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655038021.245765",0,0,1655038021,0,0,canceled,"0.195",,,,,,,,,,,
"1655042223.33","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655042223.885675",0,0,1655042223,0,0,canceled,"0.209",,,,,,,,,,,
"1655045221.38","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655045221.008501",0,0,1655045221,0,0,canceled,"0.2",,,,,,,,,,,
"1655102820.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655102820.395212",0,0,1655102820,0,0,canceled,"0.197",,,,,,,,,,,
"1655108253.4","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655108253.533607",0,0,1655108253,0,0,canceled,"0.191",,,,,,,,,,,
"1655113621.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655113621.243291",0,0,1655113621,0,0,canceled,"0.193",,,,,,,,,,,
"1655117221.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655117221.037467",0,0,1655117221,0,0,canceled,"0.217",,,,,,,,,,,
"1655120820.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655120820.716929",0,0,1655120820,0,0,canceled,"0.192",,,,,,,,,,,
"1655124420.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655124420.962583",0,0,1655124421,0,0,canceled,"0.193",,,,,,,,,,,
"1655128020.25","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655128020.801347",0,0,1655128020,0,0,canceled,"0.231",,,,,,,,,,,
"1655131620.30","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655131620.599383",0,0,1655131620,0,0,canceled,"0.193",,,,,,,,,,,
"1655135221.35","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655135221.070276",0,0,1655135221,0,0,canceled,"0.20700000000000002",,,,,,,,,,,
"1655192820.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655192820.535752",0,0,1655192820,0,0,canceled,"0.20400000000000001",,,,,,,,,,,
"1655196420.10","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655196420.696909",0,0,1655196420,0,0,canceled,"0.201",,,,,,,,,,,
"1655200020.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1655200020.337205",0,0,1655200020,0,0,canceled,"0.194",,,,,,,,,,,
